code,product,retail_price_nzd,trade_price_nzd
PC-101,Aria Basin Mixer,189.00,142.00
PC-102,Vale Kitchen Mixer with Pull-Out Spray,349.00,269.00
PC-103,Coastal Bath Mixer (Wall Mounted),259.00,199.00
SH-201,Rainfall Overhead Shower Set (200mm),229.00,179.00
SH-202,Adjustable Slide Shower Set,179.00,139.00
SH-203,Twin Shower (Overhead + Handheld),399.00,309.00
TL-301,Compact Close-Coupled Toilet Suite,549.00,429.00
TL-302,Wall-Faced Toilet Suite (In-Wall Cistern),899.00,699.00
PC-110,2-Way Shower Diverter Valve,89.00,69.00
PC-111,Pressure-Limiting Valve (PLV),129.00,99.00
PC-112,Water Hammer Arrestor,39.00,29.00
